failed_race_id,passed_race_id,failed_track,passed_track,failed_laps,passed_laps,failed_temp,passed_temp,failed_top_sequence,passed_top_sequence,failed_signature,passed_signature,distance
TEST_034,TEST_084,Bahrain,Silverstone,43,44,29.0,29.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 5, ""SOFT>MEDIUM"": 2}","{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 6, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 2, ""SOFT>MEDIUM"": 2}",12.6
TEST_034,TEST_069,Bahrain,COTA,43,42,29.0,30.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 5, ""SOFT>MEDIUM"": 2}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 5, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 4}",13.35
TEST_034,TEST_012,Bahrain,Monaco,43,41,29.0,30.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 5, ""SOFT>MEDIUM"": 2}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 5, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 5}",15.55
TEST_062,TEST_098,Bahrain,COTA,38,38,32.0,33.0,SOFT>HARD,SOFT>HARD,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 1, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 4}","{""HARD>MEDIUM"": 1, ""HARD>SOFT"": 5, ""MEDIUM>HARD"": 1, ""MEDIUM>SOFT"": 3, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 4}",11.15
TEST_062,TEST_050,Bahrain,Monza,38,40,32.0,30.0,SOFT>HARD,SOFT>MEDIUM,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 1, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 4}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 1, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 5, ""SOFT>MEDIUM"": 6}",17.9
TEST_062,TEST_026,Bahrain,Spa,38,37,32.0,33.0,SOFT>HARD,SOFT>HARD,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 1, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 4}","{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 6}",19.35
TEST_019,TEST_018,Bahrain,Bahrain,35,32,28.0,28.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 7, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 8, ""SOFT>HARD"": 4}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 10, ""SOFT>HARD"": 5}",7.8
TEST_019,TEST_068,Bahrain,Spa,35,28,28.0,29.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 7, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 8, ""SOFT>HARD"": 4}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 8, ""SOFT>HARD"": 4, ""SOFT>MEDIUM"": 3}",21.75
TEST_019,TEST_026,Bahrain,Spa,35,37,28.0,33.0,MEDIUM>HARD,SOFT>HARD,"{""HARD>MEDIUM"": 7, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 8, ""SOFT>HARD"": 4}","{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 6}",24.35
TEST_002,TEST_018,Monaco,Bahrain,34,32,30.0,28.0,SOFT>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 10, ""SOFT>HARD"": 5}",20.7
TEST_002,TEST_026,Monaco,Spa,34,37,30.0,33.0,SOFT>HARD,SOFT>HARD,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 6}",21.85
TEST_002,TEST_012,Monaco,Monaco,34,41,30.0,30.0,SOFT>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 5, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 5}",22.8
TEST_075,TEST_089,Monza,Monza,41,40,31.0,30.0,SOFT>MEDIUM,SOFT>MEDIUM,"{""HARD>MEDIUM"": 3, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 4, ""SOFT>MEDIUM"": 5}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 2, ""SOFT>MEDIUM"": 6}",6.15
TEST_075,TEST_050,Monza,Monza,41,40,31.0,30.0,SOFT>MEDIUM,SOFT>MEDIUM,"{""HARD>MEDIUM"": 3, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 4, ""SOFT>MEDIUM"": 5}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 1, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 5, ""SOFT>MEDIUM"": 6}",10.95
TEST_075,TEST_012,Monza,Monaco,41,41,31.0,30.0,SOFT>MEDIUM,MEDIUM>HARD,"{""HARD>MEDIUM"": 3, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 4, ""SOFT>MEDIUM"": 5}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 5, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 5}",17.55
TEST_067,TEST_018,Monza,Bahrain,35,32,28.0,28.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 7, ""SOFT>HARD"": 7}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 10, ""SOFT>HARD"": 5}",14.6
TEST_067,TEST_030,Monza,Monza,35,27,28.0,32.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 7, ""SOFT>HARD"": 7}","{""HARD>MEDIUM"": 1, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 7, ""MEDIUM>SOFT"": 1, ""SOFT>HARD"": 5, ""SOFT>MEDIUM"": 5}",20.2
TEST_067,TEST_068,Monza,Spa,35,28,28.0,29.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 7, ""SOFT>HARD"": 7}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 8, ""SOFT>HARD"": 4, ""SOFT>MEDIUM"": 3}",21.75
TEST_099,TEST_030,Monza,Monza,35,27,31.0,32.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 9, ""SOFT>HARD"": 8}","{""HARD>MEDIUM"": 1, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 7, ""MEDIUM>SOFT"": 1, ""SOFT>HARD"": 5, ""SOFT>MEDIUM"": 5}",15.95
TEST_099,TEST_018,Monza,Bahrain,35,32,31.0,28.0,MEDIUM>HARD,MEDIUM>HARD,"{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 9, ""SOFT>HARD"": 8}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 10, ""SOFT>HARD"": 5}",18.85
TEST_099,TEST_026,Monza,Spa,35,37,31.0,33.0,MEDIUM>HARD,SOFT>HARD,"{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 9, ""SOFT>HARD"": 8}","{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 6}",22.5
TEST_065,TEST_087,Suzuka,Suzuka,35,40,30.0,28.0,MEDIUM>SOFT,SOFT>HARD,"{""HARD>MEDIUM"": 1, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 5}","{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 3, ""SOFT>HARD"": 4, ""SOFT>MEDIUM"": 3}",16.3
TEST_065,TEST_089,Suzuka,Monza,35,40,30.0,30.0,MEDIUM>SOFT,SOFT>MEDIUM,"{""HARD>MEDIUM"": 1, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 5}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 2, ""SOFT>MEDIUM"": 6}",21.6
TEST_065,TEST_012,Suzuka,Monaco,35,41,30.0,30.0,MEDIUM>SOFT,MEDIUM>HARD,"{""HARD>MEDIUM"": 1, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 5}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 5, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 5}",22.6
