passed_race_id,failed_race_id,track_pair,lap_pair,temp_pair,pit_pair,band_pair,unique_sequence_pair,two_stop_pair,first_mismatch_at_failed,seq_gap,distance,passed_signature,failed_signature,passed_expected_top5,failed_expected_top5,failed_pred_top5
TEST_002,TEST_001,Monaco | Monaco,34 | 31,30 | 32,21.1 | 21.4,short/mild | short/warm,4 | 4,0 | 0,1,4.0,11.2,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 9}","D001,D003,D004,D009,D011","D006,D018,D003,D009,D019","D009,D006,D018,D001,D003"
TEST_002,TEST_054,Monaco | Monaco,34 | 35,30 | 31,21.1 | 20.4,short/mild | short/warm,4 | 4,0 | 0,1,16.0,20.05,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 10, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 1}","D001,D003,D004,D009,D011","D020,D002,D018,D013,D006","D002,D018,D020,D006,D014"
TEST_002,TEST_048,Monaco | COTA,34 | 34,30 | 29,21.1 | 22.5,short/mild | short/mild,4 | 4,0 | 0,1,8.0,22.15,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 9}","{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 9, ""SOFT>HARD"": 5}","D001,D003,D004,D009,D011","D011,D001,D017,D019,D007","D001,D011,D007,D009,D017"
TEST_011,TEST_053,Suzuka | Suzuka,53 | 53,33 | 33,23.9 | 21.2,mid/warm | mid/warm,6 | 6,0 | 0,13,10.0,21.5,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 6, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>MEDIUM"": 2}","D009,D017,D001,D018,D004","D003,D004,D009,D017,D008","D003,D004,D009,D017,D008"
TEST_011,TEST_061,Suzuka | Bahrain,53 | 54,33 | 27,23.9 | 23.3,mid/warm | mid/mild,6 | 6,0 | 0,15,6.0,23.3,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 6, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 5, ""MEDIUM>SOFT"": 3, ""SOFT>HARD"": 3}","D009,D017,D001,D018,D004","D005,D019,D015,D003,D010","D005,D019,D015,D003,D010"
TEST_011,TEST_033,Suzuka | Bahrain,53 | 43,33 | 32,23.9 | 23.8,mid/warm | mid_short/warm,6 | 6,0 | 0,3,3.0,24.65,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 6, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 5, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>HARD"": 2}","D009,D017,D001,D018,D004","D015,D019,D003,D012,D005","D015,D019,D012,D003,D005"
TEST_044,TEST_053,Suzuka | Suzuka,54 | 53,32 | 33,20.8 | 21.2,mid/warm | mid/warm,5 | 6,0 | 0,13,13.0,14.15,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 1}","{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 5, ""SOFT>MEDIUM"": 2}","D007,D010,D005,D015,D016","D003,D004,D009,D017,D008","D003,D004,D009,D017,D008"
TEST_044,TEST_056,Suzuka | Suzuka,54 | 49,32 | 29,20.8 | 21.0,mid/warm | mid/mild,5 | 6,0 | 0,4,6.0,15.05,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 1}","{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 3}","D007,D010,D005,D015,D016","D019,D004,D002,D016,D005","D019,D004,D002,D005,D016"
TEST_044,TEST_093,Suzuka | Suzuka,54 | 54,32 | 33,20.8 | 20.8,mid/warm | mid/warm,5 | 6,0 | 3,15,18.0,15.15,"{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 4, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 1}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 5, ""MEDIUM>HARD"": 4, ""SOFT>HARD"": 4, ""SOFT>HARD>SOFT"": 3}","D007,D010,D005,D015,D016","D019,D008,D016,D003,D001","D019,D008,D016,D003,D001"
TEST_047,TEST_085,Silverstone | Suzuka,57 | 58,37 | 34,23.2 | 22.5,long/hot | long/warm,11 | 8,7 | 3,12,15.0,28.75,"{""HARD>MEDIUM>SOFT"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 3, ""MEDIUM>SOFT"": 2, ""SOFT>MEDIUM"": 3}","{""HARD>MEDIUM"": 3, ""MEDIUM>HARD"": 2, ""MEDIUM>SOFT"": 5, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 3}","D008,D002,D001,D007,D015","D009,D016,D015,D007,D002","D009,D016,D015,D007,D002"
TEST_047,TEST_038,Silverstone | Silverstone,57 | 66,37 | 20,23.2 | 23.1,long/hot | long/cool,11 | 12,7 | 7,2,9.0,31.45,"{""HARD>MEDIUM>SOFT"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 3, ""MEDIUM>SOFT"": 2, ""SOFT>MEDIUM"": 3}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 2, ""HARD>SOFT>MEDIUM"": 2, ""MEDIUM>HARD"": 3, ""SOFT>MEDIUM"": 3}","D008,D002,D001,D007,D015","D001,D003,D013,D011,D006","D001,D013,D003,D011,D006"
TEST_047,TEST_074,Silverstone | Monza,57 | 64,37 | 40,23.2 | 23.5,long/hot | long/hot,11 | 13,7 | 9,1,17.0,32.35,"{""HARD>MEDIUM>SOFT"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 3, ""MEDIUM>SOFT"": 2, ""SOFT>MEDIUM"": 3}","{""HARD>MEDIUM>HARD"": 2, ""HARD>SOFT"": 3, ""MEDIUM>SOFT"": 3, ""MEDIUM>SOFT>HARD"": 2, ""SOFT>HARD"": 2}","D008,D002,D001,D007,D015","D005,D020,D010,D013,D019","D010,D005,D020,D013,D019"
TEST_062,TEST_098,Bahrain | COTA,38 | 38,32 | 33,21.4 | 21.3,mid_short/warm | mid_short/warm,6 | 6,0 | 0,2,4.0,12.45,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 4}","{""HARD>MEDIUM"": 1, ""HARD>SOFT"": 5, ""MEDIUM>SOFT"": 3, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 4}","D001,D003,D015,D006,D012","D009,D020,D001,D006,D011","D009,D001,D006,D020,D011"
TEST_062,TEST_032,Bahrain | COTA,38 | 41,32 | 29,21.4 | 21.8,mid_short/warm | mid_short/mild,6 | 6,0 | 0,4,4.0,20.45,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 4}","{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 3, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 5, ""SOFT>MEDIUM"": 4}","D001,D003,D015,D006,D012","D011,D007,D019,D006,D005","D011,D007,D019,D015,D006"
TEST_062,TEST_034,Bahrain | Bahrain,38 | 43,32 | 29,21.4 | 21.8,mid_short/warm | mid_short/mild,6 | 6,0 | 0,3,13.0,21.65,"{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 4, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 6, ""SOFT>MEDIUM"": 4}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 6, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 5}","D001,D003,D015,D006,D012","D015,D003,D018,D011,D004","D015,D003,D011,D016,D018"
TEST_078,TEST_035,Monza | Monza,51 | 50,27 | 32,22.5 | 22.1,mid/mild | mid/warm,6 | 6,0 | 0,12,12.0,18.35,"{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 2, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 3}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 7, ""MEDIUM>HARD"": 2, ""MEDIUM>SOFT"": 3, ""SOFT>MEDIUM"": 3}","D006,D011,D017,D014,D013","D009,D016,D006,D002,D014","D009,D016,D006,D002,D014"
TEST_078,TEST_059,Monza | Spa,51 | 48,27 | 29,22.5 | 22.6,mid/mild | mid/mild,6 | 6,0 | 0,7,8.0,19.4,"{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 2, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 3}","{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 2, ""MEDIUM>SOFT"": 4, ""SOFT>MEDIUM"": 3}","D006,D011,D017,D014,D013","D002,D018,D016,D005,D009","D002,D018,D016,D005,D009"
TEST_078,TEST_036,Monza | Monza,51 | 47,27 | 34,22.5 | 23.3,mid/mild | mid/warm,6 | 6,0 | 0,1,7.0,20.85,"{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 2, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 3}","{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 1, ""MEDIUM>HARD"": 4, ""SOFT>HARD"": 4, ""SOFT>MEDIUM"": 4}","D006,D011,D017,D014,D013","D018,D013,D020,D006,D004","D013,D018,D020,D006,D004"
TEST_084,TEST_097,Silverstone | Silverstone,44 | 41,29 | 28,20.5 | 22.7,mid_short/mild | mid_short/mild,6 | 6,0 | 0,1,4.0,17.95,"{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 6, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 4, ""MEDIUM>SOFT"": 3, ""SOFT>HARD"": 3}","D004,D009,D014,D018,D003","D017,D008,D005,D019,D018","D005,D019,D017,D018,D008"
TEST_084,TEST_069,Silverstone | COTA,44 | 42,29 | 30,20.5 | 20.6,mid_short/mild | mid_short/mild,6 | 6,0 | 0,3,10.0,19.25,"{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 6, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 3, ""SOFT>MEDIUM"": 4}","D004,D009,D014,D018,D003","D007,D014,D013,D004,D001","D007,D014,D004,D001,D018"
TEST_084,TEST_081,Silverstone | Spa,44 | 44,29 | 30,20.5 | 20.1,mid_short/mild | mid_short/mild,6 | 6,0 | 0,2,11.0,19.55,"{""HARD>MEDIUM"": 4, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 6, ""MEDIUM>SOFT"": 2, ""SOFT>HARD"": 2}","{""HARD>MEDIUM"": 5, ""HARD>SOFT"": 4, ""MEDIUM>HARD"": 2, ""MEDIUM>SOFT"": 7, ""SOFT>HARD"": 1}","D004,D009,D014,D018,D003","D003,D010,D005,D008,D007","D003,D005,D010,D008,D007"
TEST_091,TEST_068,Spa | Spa,30 | 28,28 | 29,20.4 | 22.0,short/mild | short/mild,4 | 5,0 | 0,4,12.0,20.35,"{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 5, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 4}","{""HARD>MEDIUM"": 2, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 8, ""SOFT>HARD"": 4, ""SOFT>MEDIUM"": 3}","D002,D020,D001,D010,D005","D001,D006,D016,D012,D004","D001,D006,D016,D004,D012"
TEST_091,TEST_018,Spa | Bahrain,30 | 32,28 | 28,20.4 | 20.7,short/mild | short/mild,4 | 4,0 | 0,1,12.0,21.1,"{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 5, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 4}","{""HARD>MEDIUM"": 3, ""HARD>SOFT"": 2, ""MEDIUM>HARD"": 10, ""SOFT>HARD"": 5}","D002,D020,D001,D010,D005","D006,D007,D009,D011,D015","D011,D015,D006,D007,D009"
TEST_091,TEST_054,Spa | Monaco,30 | 35,28 | 31,20.4 | 20.4,short/mild | short/warm,4 | 4,0 | 0,1,10.0,25.25,"{""HARD>MEDIUM"": 6, ""HARD>SOFT"": 5, ""MEDIUM>HARD"": 5, ""SOFT>HARD"": 4}","{""HARD>MEDIUM"": 10, ""HARD>SOFT"": 3, ""MEDIUM>HARD"": 6, ""SOFT>HARD"": 1}","D002,D020,D001,D010,D005","D020,D002,D018,D013,D006","D002,D018,D020,D006,D014"
